latitude,longitude,area_in_meters,confidence
-33.51229777,-70.77064369,50.7546,0.8146
-33.49710931,-70.77768291,26.0439,0.7313
-33.52409908,-70.74021669,8.6443,0.6687
-33.496673,-70.76496535,79.4501,0.7302
-33.5281929,-70.75032673,57.9437,0.6516
-33.51120557,-70.78906462,21.1055,0.6901
-33.5091804,-70.78846037,36.4123,0.7427
-33.49675513,-70.76853436,80.0884,0.7921
-33.4943898,-70.77790512,191.5631,0.8674
-33.51750041,-70.75169155,35.0322,0.7128
-33.50772454,-70.77718066,27.8942,0.7015
-33.49651312,-70.74649195,8.1913,0.6868
-33.51535286,-70.75704024,174.2922,0.8274
-33.5186735,-70.76421662,86.5634,0.7636
-33.49353411,-70.78180497,14.989,0.7321
-33.50885488,-70.78733075,56.7439,0.7715
-33.51845181,-70.7423206,524.2732,0.8848
-33.51424153,-70.78078803,22.7272,0.7125
-33.49810627,-70.75113881,22.6182,0.7368
-33.51349185,-70.75420471,20.4385,0.7215
-33.52597096,-70.74725909,23.5395,0.7631
-33.50468414,-70.78706444,98.271,0.8706
-33.52797222,-70.77115378,21.0086,0.7697
-33.50870446,-70.76341865,129.3632,0.8345
-33.51409417,-70.76658237,96.9445,0.7279
-33.52920448,-70.78064129,20.1531,0.7027
-33.49342187,-70.74461182,17.2299,0.699
-33.50172764,-70.77430438,13.6746,0.7123
-33.5271198,-70.78694749,7.7738,0.673
-33.51218945,-70.78405492,6.2528,0.6506
-33.51903614,-70.76637675,322.7326,0.7948
-33.51369596,-70.75937748,25.1545,0.8056
-33.51859307,-70.76655565,18.6763,0.7322
-33.50913441,-70.78465628,42.3007,0.7668
-33.49014393,-70.75636276,96.3008,0.8741
-33.51494888,-70.76969424,258.3914,0.8595
-33.52150093,-70.78347188,17.9032,0.6776
-33.49456855,-70.78199787,166.5678,0.8675
-33.52017987,-70.78862895,7.3565,0.6886
-33.50997465,-70.76008673,59.4097,0.823
-33.50396685,-70.76333082,36.6432,0.7771
-33.49605249,-70.78277537,14.1961,0.7289
-33.52876422,-70.7487701,180.2573,0.7713
-33.4904494,-70.74707888,149.5808,0.7875
-33.52262612,-70.78547007,175.7264,0.8168
-33.52735399,-70.76523058,25.1419,0.7226
-33.52947462,-70.77478707,41.8811,0.7728
-33.51846772,-70.77598463,99.0018,0.8603
-33.51583708,-70.76754179,138.4264,0.8282
-33.49568617,-70.74330594,363.3134,0.8079
-33.49468824,-70.74345977,23.426,0.6904
-33.50981195,-70.78733834,86.7952,0.7514
-33.50424555,-70.76965135,47.4257,0.7041
-33.49028182,-70.74178153,16.5449,0.6545
-33.51423574,-70.78911155,82.5683,0.8151
-33.49799596,-70.76064085,91.6473,0.8818
-33.50351869,-70.77676957,534.1863,0.8648
-33.51213786,-70.78415564,57.1283,0.7597
-33.51837965,-70.77354934,159.3677,0.8206
-33.49847755,-70.75426335,6.1282,0.6657
-33.50411647,-70.77061014,36.3621,0.7014
-33.50114421,-70.7782418,22.7612,0.743
-33.51225622,-70.77587202,536.8552,0.8445
-33.52994401,-70.76983522,71.4648,0.7973
-33.50061159,-70.77361105,19.7676,0.8024
-33.50368828,-70.78365184,9.9882,0.7134
-33.51903718,-70.78273842,19.8067,0.7715
-33.5266287,-70.76728092,13.6361,0.7538
-33.50471536,-70.75972407,106.255,0.8549
-33.50278811,-70.74375546,10.709,0.7372
-33.49019065,-70.75682925,132.2463,0.8146
-33.49965024,-70.78832075,66.8658,0.7241
-33.51358214,-70.78330976,28.7961,0.745
-33.49779989,-70.77564737,45.4281,0.7986
-33.5096091,-70.76844469,32.2853,0.7933
-33.49187647,-70.74166264,80.7053,0.8589
-33.51752875,-70.75265926,273.1146,0.875
-33.49704847,-70.75072156,12.033,0.6512
-33.51080418,-70.77705869,16.4729,0.8138
-33.50400504,-70.77445434,12.5545,0.6986
-33.51951074,-70.78001725,96.8698,0.803
-33.51977864,-70.78746737,39.6252,0.6962
-33.50186298,-70.75267554,109.5165,0.8881
-33.52457799,-70.7897816,482.2873,0.8218
-33.52291874,-70.78397367,59.3643,0.8691
-33.50522618,-70.76314881,47.4218,0.7879
-33.50396893,-70.77205441,38.9541,0.8721
-33.51677334,-70.76431645,128.4884,0.8236
-33.50932204,-70.74154555,175.6349,0.8367
-33.52033534,-70.74770912,330.7376,0.9016
-33.49974424,-70.77727851,31.99,0.7733
-33.50528922,-70.75132707,646.6527,0.9304
-33.49360022,-70.75244639,29.8114,0.7706
-33.52477306,-70.77460641,120.7773,0.8225
-33.52568908,-70.77973172,19.9101,0.6894
-33.51891911,-70.76461409,104.2552,0.7789
-33.51248174,-70.77644621,92.933,0.8675
-33.49725789,-70.77793693,113.983,0.8794
-33.49105598,-70.78472643,105.677,0.8584
-33.51475509,-70.78689975,84.3115,0.7826
-33.51770239,-70.78937784,280.201,0.8283
-33.52219182,-70.78743851,96.1171,0.7688
-33.52631581,-70.75202753,106.8841,0.7409
-33.52095225,-70.77962645,166.0021,0.8411
-33.49649724,-70.76407051,118.1921,0.805
-33.52995689,-70.77084472,8.1342,0.6589
-33.50705759,-70.77718242,67.3055,0.8211
-33.52527825,-70.7895829,538.9074,0.8534
-33.49963279,-70.78402026,8.7687,0.7083
-33.51536411,-70.74633724,94.9501,0.8445
-33.50589377,-70.77130729,21.5483,0.7672
-33.51882439,-70.76288211,345.4408,0.8142
-33.49579926,-70.7477689,19.391,0.8359
-33.49219491,-70.78102207,6.0694,0.6749
-33.52720491,-70.78945612,19.7073,0.6502
-33.51014405,-70.78601803,17.8144,0.6845
-33.52346207,-70.78189855,60.8086,0.8079
-33.50742536,-70.77393977,225.8844,0.8169
-33.52957405,-70.742913,26.7626,0.7464
-33.51407883,-70.74250515,35.5301,0.7287
-33.49775274,-70.75371004,65.4628,0.6793
-33.49923445,-70.77278675,210.2225,0.8506
-33.50008343,-70.76169584,62.7508,0.8864
-33.51553882,-70.76143188,118.5508,0.8126
-33.52482554,-70.75862818,37.8839,0.7492
-33.504277,-70.75149567,12.87,0.7358
-33.50700931,-70.75173822,68.871,0.7438
-33.51307133,-70.78677339,222.8884,0.8248
-33.51333866,-70.7875543,37.3705,0.7978
-33.49069632,-70.74419984,77.5586,0.7868
-33.52971889,-70.78216496,25.8798,0.6912
-33.5222626,-70.76055057,61.9562,0.8727
-33.5247807,-70.77449691,76.3195,0.8684
-33.50271039,-70.7838035,6.2439,0.6517
-33.51090981,-70.78449752,37.1007,0.6743
-33.49811997,-70.76922577,22.0375,0.8447
-33.49720564,-70.76522063,90.9962,0.7507
-33.49657052,-70.74293553,106.7881,0.7802
-33.50552116,-70.78595674,16.0848,0.7478
-33.51908966,-70.78860969,8.1118,0.7008
-33.51185607,-70.77993808,44.2673,0.7741
-33.51435791,-70.76933197,30.094,0.7117
-33.49114107,-70.77427861,159.728,0.8155
-33.50888026,-70.76423511,10.3097,0.7378
-33.52484655,-70.74297081,91.0822,0.8734
-33.50024056,-70.7580653,111.2739,0.8335
-33.52754384,-70.77301114,46.0412,0.7777
-33.50627468,-70.76937308,46.5631,0.8731
-33.51939396,-70.78882617,7.514,0.6627
-33.52352006,-70.75784858,101.0396,0.7589
-33.49771795,-70.77796058,195.1184,0.7799
-33.51283913,-70.7464405,4.2476,0.7181
-33.51471861,-70.78833467,42.8606,0.847
-33.52523406,-70.76070813,77.4032,0.8396
-33.49730213,-70.74329928,40.3678,0.7738
-33.5012298,-70.77895101,73.0668,0.7943
-33.51329386,-70.75357963,34.7511,0.7257
-33.49078352,-70.77439548,155.4869,0.8816
-33.50079947,-70.78656643,142.5899,0.8578
-33.52930995,-70.77569581,42.0442,0.8011
-33.51338865,-70.77957171,158.3215,0.8531
-33.49907564,-70.77737106,287.9388,0.8735
-33.4983891,-70.77279185,24.6429,0.6923
-33.52053566,-70.77157398,138.4246,0.8838
-33.49016321,-70.7729866,116.1331,0.7553
-33.52746444,-70.75278616,382.7538,0.9531
-33.50171559,-70.74760747,26.2476,0.8405
-33.51180563,-70.78822824,141.1811,0.8082
-33.49544835,-70.74998985,135.2007,0.8888
-33.49783777,-70.76435535,22.3536,0.6602
-33.50954466,-70.78661901,5.783,0.7213
-33.52893986,-70.77419866,100.0136,0.8283
-33.51278294,-70.78811321,196.8408,0.7839
-33.50610557,-70.76157056,74.1476,0.8576
-33.50576148,-70.75683011,32.066,0.8084
-33.528184,-70.74918845,220.952,0.9282
-33.49529804,-70.76265033,72.3218,0.7921
-33.51070042,-70.77525002,250.658,0.8428
-33.49316813,-70.74560075,12.3655,0.7023
-33.52214228,-70.78543102,517.2184,0.8467
-33.50082985,-70.76827382,16.7625,0.7839
-33.50883697,-70.78718516,52.0541,0.7084
